Date mutation;Nature mutation;Valeur fonciere;No voie;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Surface reelle bati;Nombre pieces principales;Surface terrain
03/01/2020;Vente;61690000;8;RUE;5600;ROSSINI;6000;NICE;6;88;;LA;312;;19;9904;49;;;;;;;;2;2;Appartement;98;4;
10/01/2020;Vente;1500000;28;AV;2475;FLORES;6000;NICE;6;88;;LK;179;;1;11084;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;31;0;
10/01/2020;Vente;1500000;28;AV;2475;FLORES;6000;NICE;6;88;;LK;179;;1;11084;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;90;0;
10/01/2020;Vente;40500000;1;RUE;6570;VALPERGA;6000;NICE;6;88;;LB;129;;4;7874;;;;;;;;;1;2;Appartement;90;4;
08/01/2020;Vente;10500000;2;RUE;610;BARLA;6300;NICE;6;88;;KO;21;;1;5841;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;58;0;
08/01/2020;Vente;20000000;1;RES;A251;LE NEGRESCO;6000;NICE;6;88;;KV;237;;129;2098;;;;;;;;;1;2;Appartement;26;1;
03/01/2020;Vente;21255000;27;RUE;3535;LAMARTINE;6000;NICE;6;88;;LB;299;;33;3020;;;;;;;;;1;2;Appartement;95;3;
03/01/2020;Vente;5000000;6;RUE;4115;MASSENET;6000;NICE;6;88;;KT;368;;326;;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;60;0;
07/01/2020;Vente;16000000;5;RUE;2295;EMMANUEL PHILIBERT;6300;NICE;6;88;;KO;73;;20;3450;;;;;;;;;1;2;Appartement;34;3;
10/01/2020;Vente;32000000;28;AV;2475;FLORES;6000;NICE;6;88;;LK;179;;5;2920;;;;;;;;;1;2;Appartement;31;2;
10/01/2020;Vente;32000000;28;AV;2475;FLORES;6000;NICE;6;88;;LK;179;;6;3216;;;;;;;;;1;2;Appartement;31;2;
10/01/2020;Vente;32000000;28;AV;2475;FLORES;6000;NICE;6;88;;LK;179;;7;2955;;;;;;;;;1;2;Appartement;31;2;
10/01/2020;Vente;32000000;28;AV;2475;FLORES;6000;NICE;6;88;;LK;179;;2;6312;;;;;;;;;1;2;Appartement;31;2;
10/01/2020;Vente;32000000;28;AV;2475;FLORES;6000;NICE;6;88;;LK;179;;3;;;;;;;;;;1;2;Appartement;31;2;
03/01/2020;Vente;51500000;16;RUE;5240;DE LA PREFECTURE;6300;NICE;6;88;;KS;64;;12;;;;;;;;;;1;2;Appartement;130;5;
08/01/2020;Vente;8000000;36;AV;2735;GALLIENI;6000;NICE;6;88;;LE;244;;6;4341;;;;;;;;;1;2;Appartement;47;2;
07/01/2020;Vente;36000000;108;AV;325;DES ARENES DE CIMIEZ;6000;NICE;6;88;;LI;43;;59;;92;8168;;;;;;;2;2;Appartement;83;3;
07/01/2020;Vente;107930000;40;AV;6140;SCUDERI;6100;NICE;6;88;;EZ;290;;;;;;;;;;;;0;1;Maison;102;4;520
07/01/2020;Vente;107930000;40;AV;6140;SCUDERI;6100;NICE;6;88;;EZ;290;;;;;;;;;;;;0;1;Maison;102;4;490
07/01/2020;Vente;19500000;1;RUE;1000;DE LA BUFFA;6000;NICE;6;88;;KT;198;;25;3365;;;;;;;;;1;2;Appartement;34;2;
08/01/2020;Vente;13000000;16;AV;6140;SCUDERI;6100;NICE;6;88;;HK;12;;340;;349;4437;;;;;;;2;2;Appartement;48;1;
09/01/2020;Vente;44000000;11;RUE;3090;GUIGLIA;6000;NICE;6;88;;KY;173;;31;8444;5;;;;;;;;2;2;Appartement;81;4;
10/01/2020;Vente;13700000;15;RUE;1820;DABRAY;6000;NICE;6;88;;LT;256;;21;4273;;;;;;;;;1;2;Appartement;44;2;
02/01/2020;Vente;22950000;20;RUE;3975;MARCEAU;6000;NICE;6;88;;LS;169;;99;8025;;;;;;;;;1;2;Appartement;82;3;
08/01/2020;Vente;5600000;10;RUE;1646;DU COMTE VERT AMEDEE VI;6300;NICE;6;88;;HN;139;;614;;694;4511;;;;;;;2;2;Appartement;45;2;
15/01/2020;Vente;45485000;13;AV;2465;DE FLIREY;6000;NICE;6;88;;HI;105;;205;;226;10085;;;;;;;2;2;Appartement;100;5;
06/01/2020;Vente;72000000;14;RUE;4895;PAUL DEROULEDE;6000;NICE;6;88;;LA;254;;20;;21;;88;95,68;;;;;3;2;Appartement;89;4;
13/01/2020;Vente;19150000;98;BD;4685;PAPE JEAN 23;6300;NICE;6;88;;IM;507;;12;7225;241;;;;;;;;2;2;Appartement;72;4;
10/01/2020;Vente;50000000;55;RUE;2950;GIOFFREDO;6000;NICE;6;88;;LC;267;;35;5908;;;;;;;;;1;2;Appartement;60;2;
13/01/2020;Vente;14065000;;RUE;3535;LAMARTINE;6000;NICE;6;88;;LB;299;;36;1923;;;;;;;;;1;2;Appartement;19;1;
10/01/2020;Vente;22850000;31;RUE;3235;HEROLD;6000;NICE;6;88;;KY;164;;21;5645;;;;;;;;;1;2;Appartement;58;2;
06/01/2020;Vente;19500000;51;BD;2828;GENERAL LOUIS DELFINO;6300;NICE;6;88;;IW;167;;35;5010;;;;;;;;;1;2;Appartement;45;3;
06/01/2020;Vente;26000000;8;RUE;3305;D ITALIE;6000;NICE;6;88;;LA;387;;21;7700;;;;;;;;;1;2;Appartement;77;3;
08/01/2020;Vente;48250000;24;AV;3000;GRAVIER;6100;NICE;6;88;;EI;40;;163;;218;10120;;;;;;;2;2;Appartement;102;3;
08/01/2020;Vente;19000000;42;RUE;6235;SMOLETT;6300;NICE;6;88;;IX;175;;182;3958;;;;;;;;;1;2;Appartement;37;2;
03/01/2020;Vente;31000000;1;AV;5471;DE RIMIEZ;6100;NICE;6;88;;EW;128;;26;;43;7042;;;;;;;2;2;Appartement;79;3;
06/01/2020;Vente;33000000;37;RUE;4110;MASSENA;6000;NICE;6;88;;KT;98;;14;4952;;;;;;;;;1;2;Appartement;50;3;
10/01/2020;Vente;2600000;8;AV;2125;DURANTE;6000;NICE;6;88;;LA;75;;95;995;;;;;;;;;1;3;D̩pendance;0;0;
09/01/2020;Vente;17720000;103;AV;3230;HENRY DUNANT;6100;NICE;6;88;;EZ;3;;497;;;;;;;;;;1;3;D̩pendance;0;0;
09/01/2020;Vente;17720000;103;AV;3230;HENRY DUNANT;6100;NICE;6;88;;EZ;3;;727;;825;5620;;;;;;;2;2;Appartement;45;3;
09/01/2020;Vente;20000000;3;RUE;485;D AUTUN;6000;NICE;6;88;;LS;309;;7;5900;;;;;;;;;1;2;Appartement;62;3;
13/01/2020;Vente;5000000;10;RUE;3080;GUBERNATIS;6000;NICE;6;88;;LC;310;;2;;;;;;;;;;1;3;D̩pendance;0;0;
16/01/2020;Vente en l'̩tat futur d'ach̬vement;26059000;;BD;5485;DE RIQUIER;6300;NICE;6;88;;IY;3;;50;;;;;;;;;;1;;;;;
